backend,operation,n,k,median_ms,median_ci_low_ms,median_ci_high_ms
memory,full_snapshot,100,,8.228,6.944,10.545
memory,full_snapshot,1000,,22.936,20.849,24.464
memory,full_snapshot,10000,,147.431,137.209,149.577
sqlite,full_snapshot,100,,14.021,12.771,15.519
sqlite,full_snapshot,1000,,47.433,43.643,50.075
sqlite,full_snapshot,10000,,1156.306,1016.622,1246.116
sqlite,incremental_commit,100,1,10.446,10.268,12.132
sqlite,incremental_commit,1000,1,13.577,12.465,14.660
sqlite,load,100,,21.221,20.831,21.956
sqlite,load,1000,,222.167,216.701,231.314
sqlite,logical_checkout,100,,5.225,5.147,5.425
sqlite,logical_checkout,1000,,7.765,7.351,8.507
loose_files,full_snapshot,1000,,10427.392,6265.793,10953.676
baseline,naive_full_snapshot,100,,18.048,17.320,28.290
baseline,naive_full_snapshot,1000,,299.824,262.367,321.357
